scenario,scenario_key,seed,time,tls,cw_id,count
S3,smart_multi,42,2308.0,N6,CW3,2
S3,smart_multi,42,2364.0,N2,CW1,1
S3,smart_multi,42,2365.0,N2,CW1,2
S3,smart_multi,42,2425.0,N3,CW2,1
S3,smart_multi,42,2426.0,N3,CW2,2
S3,smart_multi,42,2523.0,N3,CW2,1
S3,smart_multi,42,2535.0,N3,CW2,2
S3,smart_multi,42,2580.0,N2,CW1,1
S3,smart_multi,42,2581.0,N2,CW1,2
S3,smart_multi,42,2581.0,N6,CW3,1
S3,smart_multi,42,2585.0,N6,CW3,2
S3,smart_multi,42,2636.0,N3,CW2,1
S3,smart_multi,42,2637.0,N3,CW2,2
S3,smart_multi,42,2683.0,N2,CW1,1
S3,smart_multi,42,2683.0,N6,CW3,1
S3,smart_multi,42,2686.0,N6,CW3,2
S3,smart_multi,42,2688.0,N2,CW1,2
S3,smart_multi,42,2733.0,N3,CW2,1
S3,smart_multi,42,2782.0,N6,CW3,1
S3,smart_multi,42,2790.0,N6,CW3,2
S3,smart_multi,42,2794.0,N2,CW1,1
