횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율,nan_flag,crossing_length_m,ped_green_base,ped_green_elderly,risk_score
5837,126.97420017950492,37.55863801970813,남대문로5가,5.0,104.0,50.0,1.0,26875.559786532827,중림동,0.1901991313611407,False,17.5,24.5,28.875,4.101991313611407
5844,126.97574353399908,37.55978947871644,남대문로4가,1.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.401991313611407
5845,126.97593039551325,37.5597849398938,남창동,3.0,104.0,50.0,0.0,26875.559786532827,회현동,0.2946596858638743,False,10.5,17.5,20.125,4.046596858638743
5846,126.97393566808076,37.5587432341164,남대문로5가,4.0,104.0,50.0,1.0,26875.559786532827,중림동,0.1901991313611407,False,14.0,21.0,24.5,3.801991313611407
6237,126.98260212256088,37.56860610841805,남대문로1가,3.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,10.5,17.5,20.125,3.457627618766598
6238,126.9829442678153,37.56857411893869,남대문로1가,2.0,104.0,50.0,1.0,26875.559786532827,명동,0.2357627618766598,False,7.0,14.0,15.75,3.657627618766598
6239,126.98298738870352,37.56859929897823,남대문로1가,2.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,7.0,14.0,15.75,3.157627618766598
6240,126.98298735539096,37.5687457648202,남대문로1가,2.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,7.0,14.0,15.75,3.157627618766598
6246,126.98253022185736,37.568704504541415,다동,2.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.358596073765615
6275,126.9831059194024,37.56571576889857,을지로2가,1.0,104.0,50.0,1.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,2.5585960737656146
6276,126.98293050328768,37.56589653753459,남대문로2가,3.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,10.5,17.5,20.125,3.457627618766598
6281,126.98244463394346,37.56586900392771,을지로1가,3.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,10.5,17.5,20.125,2.658596073765615
6282,126.98226627087588,37.566344991479866,을지로1가,1.0,104.0,50.0,1.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,2.5585960737656146
6283,126.98245318326543,37.566191687911896,을지로1가,3.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,10.5,17.5,20.125,2.658596073765615
6284,126.98293330676296,37.56621006653258,남대문로1가,3.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,10.5,17.5,20.125,3.457627618766598
6285,126.98311727167908,37.566370290067674,을지로2가,2.0,104.0,50.0,1.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.858596073765615
6286,126.98229228963034,37.56573853496806,을지로1가,1.0,104.0,50.0,1.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,2.5585960737656146
137963,127.01975276031052,37.56829449796533,황학동,1.0,104.0,30.0,5.0,26875.559786532827,황학동,0.1717813302883243,False,3.5,10.5,11.375,4.637813302883243
6310,126.9838372718882,37.56061015862655,회현동3가,3.0,104.0,50.0,0.0,26875.559786532827,회현동,0.2946596858638743,False,10.5,17.5,20.125,4.046596858638743
6312,126.9837998489263,37.56084358375614,충무로1가,3.0,104.0,50.0,1.0,26875.559786532827,명동,0.2357627618766598,False,10.5,17.5,20.125,3.957627618766598
6336,126.9822072262234,37.56074952467933,충무로1가,1.0,104.0,50.0,1.0,26875.559786532827,명동,0.2357627618766598,False,3.5,10.5,11.375,3.357627618766598
6337,126.98180091779184,37.56040212407984,충무로1가,3.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,10.5,17.5,20.125,3.457627618766598
6338,126.9816639735328,37.560399296165016,충무로1가,1.0,104.0,50.0,1.0,26875.559786532827,명동,0.2357627618766598,False,3.5,10.5,11.375,3.357627618766598
6342,126.9809478481145,37.561584642267846,남대문로3가,3.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,10.5,17.5,20.125,3.457627618766598
6343,126.9810482900917,37.56228494906255,남대문로2가,2.0,104.0,50.0,1.0,26875.559786532827,명동,0.2357627618766598,False,7.0,14.0,15.75,3.657627618766598
137174,127.01613476663422,37.569758561982184,흥인동,2.0,104.0,30.0,0.0,26875.559786532827,황학동,0.1717813302883243,False,7.0,14.0,15.75,2.437813302883243
